iter	Passed	Remaining
400	31179	209860
401	31260	209804
402	31339	209733
403	31406	209584
404	31478	209465
405	31589	209610
406	31688	209672
407	31829	210015
408	31923	210037
409	31997	209937
410	32067	209804
411	32137	209676
412	32219	209624
413	32316	209665
414	32406	209666
415	32475	209529
416	32549	209427
417	32630	209366
418	32720	209363
419	32801	209302
420	32876	209208
421	32947	209082
422	33019	208967
423	33086	208819
424	33170	208778
425	33266	208812
426	33354	208800
427	33449	208824
428	33526	208740
429	33611	208706
430	33683	208585
431	33762	208513
432	33832	208384
433	33935	208463
434	34021	208430
435	34114	208440
436	34194	208377
437	34272	208293
438	34325	208061
439	34389	207901
440	34467	207822
441	34544	207735
442	34606	207559
443	34668	207385
444	34743	207287
445	34818	207190
446	34893	207097
447	34957	206936
448	35016	206745
449	35082	206595
450	35160	206516
451	35242	206462
452	35302	206280
453	35385	206232
454	35477	206238
455	35550	206130
456	35640	206121
457	35725	206085
458	35814	206068
459	35875	205896
460	35949	205795
461	36031	205739
462	36089	205546
463	36183	205556
464	36278	205575
465	36372	205592
466	36458	205554
467	36541	205508
468	36620	205436
469	36709	205416
470	36800	205408
471	36899	205448
472	36988	205433
473	37107	205578
474	37190	205526
475	37264	205424
476	37357	205429
477	37449	205421
478	37542	205424
479	37620	205344
480	37694	205245
481	37784	205225
482	37853	205099
483	37924	204981
484	38004	204911
485	38076	204799
486	38158	204741
487	38249	204731
488	38318	204601
489	38394	204508
490	38457	204351
491	38561	204407
492	38640	204333
493	38733	204331
494	38816	204275
495	38877	204108
496	38954	204018
497	39030	203928
498	39104	203828
499	39176	203719
500	39274	203742
501	39376	203786
502	39458	203723
503	39544	203687
504	39620	203596
505	39699	203518
506	39783	203466
507	39865	203406
508	39944	203331
509	40025	203265
510	40110	203223
511	40197	203184
512	40280	203131
513	40366	203091
514	40446	203018
515	40514	202886
516	40594	202814
517	40644	202592
518	40715	202480
519	40785	202357
520	40869	202309
521	40948	202233
522	41028	202162
523	41118	202137
524	41195	202052
525	41272	201969
526	41347	201871
527	41415	201744
528	41484	201617
529	41562	201537
530	41645	201484
531	41717	201371
532	41797	201300
533	41876	201227
534	41948	201119
535	42027	201041
536	42113	200999
537	42219	201050
538	42309	201028
539	42396	200989
540	42482	200948
541	42572	200923
542	42638	200784
543	42706	200657
544	42792	200612
545	42891	200629
546	42967	200538
547	43076	200605
548	43166	200577
549	43246	200507
550	43321	200412
551	43410	200378
552	43463	200183
553	43551	200147
554	43641	200121
555	43720	200045
556	43779	199877
557	43850	199761
558	43939	199732
559	44023	199679
560	44118	199674
561	44203	199623
562	44274	199509
563	44371	199512
564	44452	199446
565	44539	199403
566	44623	199350
567	44698	199256
568	44772	199153
569	44863	199132
570	44936	199025
571	45013	198938
572	45090	198853
573	45175	198803
574	45267	198781
575	45350	198723
576	45443	198708
577	45533	198678
578	45596	198528
579	45671	198434
580	45761	198406
581	45834	198300
582	45907	198195
583	45989	198133
584	46090	198151
585	46195	198183
586	46314	198276
587	46381	198148
588	46458	198061
589	46541	197998
590	46635	197982
591	46724	197949
592	46799	197850
593	46875	197761
594	46944	197638
595	47018	197541
596	47108	197507
597	47202	197492
598	47283	197422
599	47343	197264
600	47422	197186
601	47495	197081
602	47569	196984
603	47649	196910
604	47724	196816
605	47798	196716
606	47879	196645
607	47954	196551
608	48041	196502
